Sample_Id,Sample_name,depth_(m),Time,chemistry,julian_day,temperature,salinity,dissolved_oxygen,dissolved_inorganic_carbon,dissolved_organic_carbon,silicate,deep_chlorophyll_maxima,wind_speed,shortwave_radiation,daily_mean_sea_level_anomaly,mixed_layer_depth,particulate_carbon,particulate_nitrogen,particulate_phosphorus,low-level_nitrogen,low-level_phosphorus,particulate_silica,heterotrophic_bacteria_cell_counts,Prochlorococcus_cell_counts_,Synechococcus_cell_counts_,Picoeukaryote_cell_counts,chlorophyll_a,hours_of_day_light,total_autotroph_biomass,chlorophyll_c,19'-butanoyloxyfucoxanthin,fucoxanthin,19'-hexanoyloxyfucoxanthin,zeaxanthin,chlorophyll_b,pH,phosphate,nitrate_+_nitrite
1,HOT194_25m,25,0,flex,6881,26.4,35.03,205.15,1980.6,80.18,0.99,124,6.97,295.84,0.2,46.46,2.33,0.35,12.3,2.5,61.5,12.27,4.54,1.85,0.01,0.01,73,13.13,5.34,3,2,3,10,58,5,N/A,N/A,N/A
2,HOT195_25m,25,30,flex,6911,26.6,35.37,205.75,1984.4,80.49,1.26,112,7.05,284.53,-0.09,50.25,2.9,0.41,7.9,0.8,48.8,14.5,5.95,2.5,0.01,0,73,12.57,8.57,3,3,3,13,67,6,N/A,N/A,N/A
3,HOT196_25m,25,57,flex,6941,26.09,35.08,205.7,1985.3,79.88,1.23,120,8.02,257.55,1.64,79.99,2.07,0.32,10.1,0.5,55.7,16.93,4.53,2.08,0.01,0.01,91,13.35,72.18,9,6,4,16,60,9,N/A,N/A,N/A
4,HOT197_25m,25,117,flex,7001,25.03,35.04,207.03,1987.6,76.75,0.94,110,6.7,167.51,3.51,74.36,2.21,0.35,12,4.2,60.5,14.23,4.47,2.03,0,0.01,105,11.9,9.47,7,5,5,14,64,8,N/A,N/A,N/A
5,HOT198_25m,25,136,flex,7020,24.48,35.05,208.3,1987.7,74.1,1.45,108,9.09,149.24,9.63,105.37,2.05,0.34,10.1,1.5,68.4,18.09,5.04,1.47,0.06,0.02,137,10.73,4.63,11,10,5,20,54,19,N/A,N/A,N/A
6,HOT199_25m,25,176,titanium,7060,23.12,35.17,211.95,2000.6,68.88,0.92,122,10.46,166.08,-0.18,110.9,1.95,0.34,9.1,6.1,57.6,24.08,3.94,1.5,0,0.02,207,11.08,11.2,21,17,8,38,52,33,N/A,N/A,N/A
7,HOT200_25m,25,201,titanium,7085,23.49,35.17,214.6,1998.9,70.95,1.22,134,3.3,201.75,3.14,53.16,2.18,0.34,7.6,2,58.6,14.1,4.88,2.04,0.03,0.02,94,11.53,8.12,8,4,9,11,61,89,N/A,N/A,N/A
8,HOT201_25m,25,295,titanium,7179,25.18,35.12,211.4,1987.7,75.5,1.33,140,6.2,285.35,1.13,15.83,2.41,0.39,12.6,3.5,52.7,9.72,6.2,2.34,0.03,0.02,65,13.4,4.48,5,2,6,9,59,7,N/A,N/A,N/A
9,HOT202_25m,25,324,titanium,7208,25.51,35.07,209.95,1986.2,76.79,1.44,134,6.94,302.39,-3.83,59.14,2.43,0.34,6.3,3.8,58.6,27.74,4.43,1.87,0.01,0.01,84,13.53,6.4,6,3,5,11,64,7,N/A,N/A,N/A
10,HOT203_25m,25,355,titanium,7239,25.93,34.96,208.37,1985.1,78.23,1.19,130,7.98,288.54,9.58,37.66,2.16,0.29,11,2.7,95.7,33.81,4.96,1.6,0.01,0.01,79,13.25,6.16,5,3,6,9,61,7,N/A,N/A,N/A
